date,value
2021-01-04,1053.8
2021-01-05,1050.08
2021-01-06,1057.49
2021-01-07,1054.48
2021-01-08,1047.68
2021-01-11,1052.36
2021-01-12,1053.5
2021-01-13,1059.68
2021-01-14,1054.25
2021-01-15,1059.97
2021-01-18,1057.35
2021-01-19,1065.15
2021-01-20,1060.78
2021-01-21,1062.39
2021-01-22,1062.13
2021-01-25,1061.79
2021-01-26,1063.27
2021-01-27,1064.36
2021-01-28,1060.57
2021-01-29,1069.26
2021-02-01,1066.13
2021-02-02,1065.42
2021-02-03,1063.18
2021-02-04,1060.8
2021-02-05,1057.73
2021-02-08,1066.31
2021-02-09,1063.53
2021-02-10,1067.23
2021-02-15,1057.49
2021-02-16,1047.13
2021-02-17,1035.45
2021-02-18,1046.23
2021-02-19,1046.22
2021-02-22,1049.04
2021-02-23,1053.81
2021-02-24,1055.44
2021-02-25,1048.3
2021-02-26,1043.15
2021-03-02,1050.62
2021-03-03,1050.64
2021-03-04,1049.0
2021-03-05,1042.83
2021-03-08,1042.12
2021-03-09,1038.37
2021-03-10,1051.08
2021-03-11,1051.97
2021-03-12,1047.58
2021-03-15,1036.15
2021-03-16,1040.82
2021-03-17,1039.04
2021-03-18,1039.92
2021-03-19,1031.34
2021-03-22,1039.4
2021-03-23,1039.85
2021-03-24,1038.48
2021-03-25,1042.44
2021-03-26,1038.98
2021-03-29,1030.92
2021-03-30,1030.04
2021-03-31,1027.33
2021-04-01,1022.25
2021-04-02,1020.88
2021-04-05,1018.47
2021-04-06,1023.41
2021-04-07,1023.0
2021-04-08,1016.25
2021-04-09,1023.0
2021-04-12,1018.09
2021-04-13,1027.74
2021-04-14,1032.98
2021-04-15,1027.86
2021-04-16,1027.73
2021-04-19,1027.81
2021-04-20,1033.89
2021-04-21,1030.12
2021-04-22,1034.44
2021-04-23,1033.75
2021-04-26,1037.03
2021-04-27,1029.62
2021-04-28,1021.38
2021-04-29,1024.92
2021-04-30,1016.9
2021-05-03,1015.05
2021-05-04,1026.27
2021-05-06,1026.51
2021-05-07,1032.05
2021-05-10,1033.12
2021-05-11,1024.21
2021-05-12,1029.96
2021-05-13,1024.48
2021-05-14,1032.75
2021-05-17,1032.5
2021-05-18,1037.59
2021-05-20,1037.4
2021-05-21,1040.48
2021-05-24,1034.57
2021-05-25,1036.25
2021-05-26,1032.13
2021-05-27,1024.88
2021-05-28,1017.71
2021-05-31,1015.7
2021-06-01,1016.62
2021-06-02,1011.19
2021-06-03,1013.19
2021-06-04,1008.02
2021-06-07,1019.71
2021-06-08,1016.88
2021-06-09,1017.12
2021-06-10,1017.74
2021-06-11,1019.62
2021-06-14,1012.9
